id,date,contact,noSkiffs,pob,activityType,success,shipName,noSeafarers,shipType,flagState,crewSize,waterClass,movementType,locationType,locationDescription,lat,lon,theft,armsType,theftType,theftEstimate,injuryDescription,addlInfo,extraNote,notCounted
0,4/19/2016,,,,,TRUE,,0,,,,,,,,3.65,6.133333333,,,,,,,,FALSE
0,8/24/2016,,1,7,,TRUE,,0,,,,,,,,9.402222222,13.7175,Minor Robbery,,,,,,,FALSE
0,8/22/2016,,1,3,,TRUE,,0,,,,,,,,4.75,11.8,,,,,,,,FALSE
0,8/19/2016,,1,2,,TRUE,,0,,,,,,,,4.733333333,11.81666667,,,,,,,,FALSE
0,8/24/2016,,1,,,FALSE,,0,,,,,,,,5.5,2.333333333,,,,,,,,FALSE
0,1/22/2016,,1,,,FALSE,,0,,,,,,,,5.25,3.216666667,,,,,,,,TRUE
0,1/23/2016,,,,,TRUE,,0,,,,,,,,4.366666667,8.583333333,,,,,,,,FALSE
0,5/3/2016,,,,,TRUE,,0,,,,,,,,5.85,13.43333333,Minor Robbery,,,,,,,FALSE
0,7/26/2016,,1,1,,TRUE,,0,,,,,,,,4.9,1.75,Minor Robbery,,,,,,,TRUE
0,7/24/2016,,1,3,,TRUE,,0,,,,,,,,6.433333333,3.316666667,,,,,,,,TRUE
0,7/17/2016,,1,1,,TRUE,,0,,,,,,,,4.783333333,11.78333333,Minor Robbery,,,,,,,FALSE
0,7/16/2016,,1,,,TRUE,,0,,,,,,,,4.733333333,11.8,Minor Robbery,,,,,,,FALSE
0,7/4/2016,,1,,,TRUE,,0,,,,,,,,4.733333333,11.8,Minor Robbery,,,,,,,FALSE
0,7/8/2016,,1,1,,TRUE,,0,,,,,,,,6.416666667,3.366666667,,,,,,,,TRUE
0,9/1/2016,,1,3,,TRUE,,0,,,,,,,,4.9,1.683333333,Minor Robbery,,,,,,,FALSE
0,7/7/2016,,2,20,,TRUE,,0,,,,,,,,3.25,4.883333333,Minor Robbery,,,,,,,FALSE
0,2/9/2016,,1,4,,TRUE,,0,,,,,,,,5.866666667,13.03333333,Minor Robbery,,,,,,,FALSE
0,6/6/2016,,3,,,FALSE,,0,,,,,,,,5.366666667,2.4,,,,,,,,FALSE
0,1/24/2016,,1,2,,TRUE,,0,,,,,,,,5.833333333,13.41666667,Minor Robbery,,,,,,,FALSE
0,4/28/2016,,1,,,FALSE,,0,,,,,,,,4.316666667,4.433333333,,,,,,,,FALSE
0,8/17/2016,,,,,TRUE,,0,,,,,,,,4.9,5.516666667,,,,,,,,TRUE
0,8/18/2016,,,,,TRUE,,0,,,,,,,,,,,,,,,,,TRUE
0,7/16/2016,,1,,,FALSE,,0,,,,,,,,0.016666667,0.1,,,,,,,,FALSE
0,9/16/2016,,1,12,,TRUE,,0,,,,,,,,3.766666667,5.433333333,Minor Robbery,,,,,,,FALSE
0,9/14/2016,,1,3,,TRUE,,0,,,,,,,,4.866666667,1.683333333,,,,,,,,FALSE
0,9/10/2016,,,3,,TRUE,,0,,,,,,,,4.9,1.633333333,,,,,,,,FALSE
0,6/13/2016,,1,6,,FALSE,,0,,,,,,,,4.5,7.65,,,,,,,,TRUE
0,6/4/2016,,,,,TRUE,,0,,,,,,,,,,,,,,,,,TRUE
